"","x","y","SUMgammaE"
"225",35.5,44.5,0.0742003248673878
"226",36.5,44.5,0.0918856374589349
"227",37.5,44.5,0.0914400000114589
"228",38.5,44.5,0.109076276294405
"229",39.5,44.5,0.125335290863623
"230",40.5,45.5,0.145604045608067
"231",41.5,46.5,0.123559361993291
"232",41.5,47.5,0.0813273886472198
"233",41.5,58.5,-0.27072035140689
"234",42.5,58.5,-0.187607063768905
"235",38.5,31.5,0.0881745395535402
"236",39.5,32.5,0.032944374526654
"237",39.5,33.5,0.013509497953806
"238",40.5,33.5,-0.0318309432448841
"239",40.5,34.5,-0.00941681121134214
"240",41.5,34.5,-0.0148119653445679
"241",42.5,34.5,0.00291799792923561
"242",42.5,35.5,0.0363798939839834
"243",35.5,43.5,0.0908110951288007
"244",36.5,43.5,0.114322866031032
"245",37.5,43.5,0.107881039165294
"246",38.5,43.5,0.117098946879206
"247",39.5,43.5,0.132261644323624
"248",40.5,44.5,0.144752897132549
"249",41.5,45.5,0.165415010036251
"250",40.5,59.5,-0.241855071448416
"251",41.5,59.5,-0.220109405689746
"252",38.5,32.5,0.0944649515187326
"253",39.5,34.5,0.0248735275250359
"254",40.5,35.5,0.0478318211734732
"255",41.5,35.5,0.0380697256970687
"256",41.5,36.5,0.0702794422880313
"257",42.5,36.5,0.0629992602645608
"258",37.5,41.5,0.0989266433371003
"259",35.5,42.5,0.100006930525086
"260",36.5,42.5,0.129289967275564
"261",37.5,42.5,0.127214192060613
"262",38.5,42.5,0.141893423969208
"263",39.5,42.5,0.162901820153254
"264",40.5,43.5,0.157658070794748
"265",41.5,44.5,0.173666469540127
"266",38.5,33.5,0.0579586526194873
"267",38.5,34.5,0.0434790811492575
"268",39.5,35.5,0.071312803963575
"269",39.5,36.5,0.0857892987191664
"270",40.5,36.5,0.0713924151028892
"271",40.5,37.5,0.0657620788590811
"272",41.5,37.5,0.0783615224426936
"273",42.5,37.5,0.0771646865474961
"274",36.5,40.5,0.0812183872031256
"275",37.5,40.5,0.074277725490735
"276",38.5,40.5,0.0913029972119609
"277",35.5,41.5,0.083504058316753
"278",36.5,41.5,0.101598256657034
"279",38.5,41.5,0.119804123745612
"280",39.5,41.5,0.14524460375779
"281",40.5,42.5,0.19326079205443
"282",41.5,43.5,0.190761814953841
"283",38.5,35.5,0.0632418843064206
"284",39.5,37.5,0.0812273745989802
"285",36.5,38.5,0.104208712068378
"286",37.5,38.5,0.0920392562862798
"287",38.5,38.5,0.104544470812474
"288",39.5,38.5,0.0956686828892469
"289",40.5,38.5,0.0764620713584125
"290",41.5,38.5,0.0985091352711729
"291",42.5,38.5,0.0969130709886867
"292",35.5,39.5,0.0871981499435381
"293",36.5,39.5,0.101556304141555
"294",37.5,39.5,0.0947728491683106
"295",38.5,39.5,0.10591518299964
"296",39.5,39.5,0.0994529189758649
"297",40.5,39.5,0.0950046919848091
"298",41.5,39.5,0.13073007690376
"299",42.5,39.5,0.122834161253238
"300",35.5,40.5,0.0726735411617379
"301",39.5,40.5,0.104607365637338
"302",40.5,40.5,0.127039704924878
"303",40.5,41.5,0.17979900952911
"304",41.5,41.5,0.22223192141802
"305",41.5,42.5,0.22678472449579
"306",35.5,37.5,0.0847696570748063
"307",36.5,37.5,0.0775555603405214
"308",37.5,37.5,0.0525968253470596
"309",38.5,37.5,0.0728177197182785
"310",35.5,38.5,0.0937367709437474
"311",41.5,40.5,0.174449016081968
"312",42.5,40.5,0.152600414489107
"313",42.5,41.5,0.178697683964955
"314",35.5,35.5,0.110639572077256
"315",36.5,35.5,0.104258779579098
"316",37.5,35.5,0.0584540428501351
"317",35.5,36.5,0.0916137329609335
"318",36.5,36.5,0.07896397111045
"319",37.5,36.5,0.0438741323957758
"320",38.5,36.5,0.0658595373288851
"321",42.5,42.5,0.176492845216265
"322",42.5,43.5,0.152087346607193
"323",35.5,33.5,0.124919660069638
"324",36.5,33.5,0.142715704247218
"325",37.5,33.5,0.0972639481871637
