origin,destination,travelTime,entryTime,exitTime,travelDistance
1,7,96.10199999999895,25452.526,25548.628,NaN
1,8,49.82099999999991,25456.062,25505.883,NaN
12,7,59.5679999999993,25456.792,25516.36,NaN
12,7,49.49199999999837,25459.428,25508.92,NaN
13,8,63.89099999999962,25461.048,25524.939,NaN
12,7,62.77400000000125,25462.296,25525.07,NaN
12,3,67.3849999999984,25463.128,25530.513,NaN
12,5,67.60499999999956,25464.828,25532.433,NaN
12,7,56.13600000000224,25469.368,25525.504,NaN
12,7,57.43000000000029,25470.54,25527.97,NaN
12,8,57.766999999999825,25470.64,25528.407,NaN
12,8,59.04199999999764,25472.737,25531.779,NaN
3,12,92.51699999999983,25473.251,25565.768,NaN
13,6,58.80199999999968,25475.935,25534.737,NaN
12,8,58.836999999999534,25476.276,25535.113,NaN
12,8,54.80199999999968,25480.945,25535.747,NaN
12,7,57.66900000000169,25481.013,25538.682,NaN
9,-1,79.72999999999956,25485.801,25565.531,NaN
12,8,55.16399999999703,25487.524,25542.688,NaN
12,7,51.79699999999866,25488.021,25539.818,NaN
3,6,17.804000000000087,25489.969,25507.773,NaN
12,6,57.98999999999796,25490.024,25548.014,NaN
12,6,58.18899999999849,25492.928,25551.117,NaN
12,1,61.8949999999968,25493.793,25555.688,NaN
12,8,54.434000000001106,25495.461,25549.895,NaN
12,7,56.03200000000288,25496.1,25552.132,NaN
12,7,59.205000000001746,25496.5,25555.705,NaN
12,7,55.63000000000102,25497.768,25553.398,NaN
3,6,25.276999999998225,25497.911,25523.188,NaN
-1,7,53.004000000000815,25498.694,25551.698,NaN
1,10,50.0570000000007,25500.763,25550.82,NaN
3,12,59.58100000000195,25502.517,25562.098,NaN
12,7,53.495999999999185,25503.808,25557.304,NaN
12,8,53.73400000000038,25504.373,25558.107,NaN
12,7,55.23699999999735,25505.437,25560.674,NaN
12,8,51.8949999999968,25505.776,25557.671,NaN
12,6,58.35900000000038,25506.641,25565.0,NaN
13,10,49.495999999999185,25506.73,25556.226,NaN
12,3,70.92199999999866,25507.274,25578.196,NaN
12,9,61.909999999999854,25507.941,25569.851,NaN
13,9,53.844999999997526,25508.398,25562.243,NaN
12,7,55.36700000000201,25509.977,25565.344,NaN
